# mRange,cKinked,Period
2.709534712925433908e+00,1.144707021125020541e+00,1.000000000000000000e+00
2.719534712925433695e+00,1.145987719339359501e+00,1.000000000000000000e+00
2.729534712925433482e+00,1.147268417553698683e+00,1.000000000000000000e+00
2.739534712925434157e+00,1.148549115768037865e+00,1.000000000000000000e+00
2.749534712925433944e+00,1.149829813982377047e+00,1.000000000000000000e+00
2.759534712925433730e+00,1.151110512196716007e+00,1.000000000000000000e+00
2.769534712925433517e+00,1.152391210411055189e+00,1.000000000000000000e+00
2.779534712925434192e+00,1.153671908625394371e+00,1.000000000000000000e+00
2.789534712925433979e+00,1.154952606839733553e+00,1.000000000000000000e+00
2.799534712925433766e+00,1.156233305054072513e+00,1.000000000000000000e+00
2.809534712925433553e+00,1.157514003268411695e+00,1.000000000000000000e+00
2.819534712925434228e+00,1.158794701482750877e+00,1.000000000000000000e+00
2.829534712925434015e+00,1.160075399697090059e+00,1.000000000000000000e+00
2.839534712925433801e+00,1.161356097911429019e+00,1.000000000000000000e+00
2.849534712925433588e+00,1.162636796125768202e+00,1.000000000000000000e+00
2.859534712925434263e+00,1.163917494340107384e+00,1.000000000000000000e+00
2.869534712925434050e+00,1.165198192554446566e+00,1.000000000000000000e+00
2.879534712925433837e+00,1.166478890768785526e+00,1.000000000000000000e+00
2.889534712925433624e+00,1.167759588983124708e+00,1.000000000000000000e+00
2.899534712925434299e+00,1.169040287197463890e+00,1.000000000000000000e+00
2.909534712925434086e+00,1.170303040694718355e+00,1.000000000000000000e+00
2.919534712925433872e+00,1.171552153157840115e+00,1.000000000000000000e+00
2.929534712925433659e+00,1.172801265620961875e+00,1.000000000000000000e+00
2.939534712925434334e+00,1.174050378084083857e+00,1.000000000000000000e+00
2.949534712925434121e+00,1.175299490547205394e+00,1.000000000000000000e+00
2.959534712925433908e+00,1.176548603010327154e+00,1.000000000000000000e+00
2.969534712925433695e+00,1.177797715473448914e+00,1.000000000000000000e+00
2.979534712925434370e+00,1.179046827936570452e+00,1.000000000000000000e+00
2.989534712925434157e+00,1.180295940399692434e+00,1.000000000000000000e+00
2.999534712925433944e+00,1.181545052862814194e+00,1.000000000000000000e+00
3.009534712925433730e+00,1.182794165325935953e+00,1.000000000000000000e+00
3.019534712925434405e+00,1.184043277789057713e+00,1.000000000000000000e+00
3.029534712925434192e+00,1.185292390252179473e+00,1.000000000000000000e+00
3.039534712925433979e+00,1.186541502715301011e+00,1.000000000000000000e+00
3.049534712925433766e+00,1.187790615178422993e+00,1.000000000000000000e+00
3.059534712925434441e+00,1.189039727641544753e+00,1.000000000000000000e+00
3.069534712925434228e+00,1.190288840104666512e+00,1.000000000000000000e+00
3.079534712925434015e+00,1.191537952567788050e+00,1.000000000000000000e+00
3.089534712925433801e+00,1.192787065030909810e+00,1.000000000000000000e+00
3.099534712925434476e+00,1.194036177494031570e+00,1.000000000000000000e+00
3.109534712925434263e+00,1.195285289957153330e+00,1.000000000000000000e+00
3.119534712925434050e+00,1.196534402420275089e+00,1.000000000000000000e+00
3.129534712925433837e+00,1.197783514883396849e+00,1.000000000000000000e+00
3.139534712925434512e+00,1.199032627346518609e+00,1.000000000000000000e+00
3.149534712925434299e+00,1.200281739809640591e+00,1.000000000000000000e+00
3.159534712925434086e+00,1.201530852272762129e+00,1.000000000000000000e+00
3.169534712925433872e+00,1.202779964735883889e+00,1.000000000000000000e+00
3.179534712925434548e+00,1.204029077199005648e+00,1.000000000000000000e+00
3.189534712925434334e+00,1.205278189662127408e+00,1.000000000000000000e+00
3.199534712925434121e+00,1.206503350925989704e+00,1.000000000000000000e+00
3.209534712925433908e+00,1.207724386181393106e+00,1.000000000000000000e+00
3.219534712925434583e+00,1.208945421436796730e+00,1.000000000000000000e+00
3.229534712925434370e+00,1.210166456692200354e+00,1.000000000000000000e+00
3.239534712925434157e+00,1.211387491947603756e+00,1.000000000000000000e+00
3.249534712925433944e+00,1.212608527203007380e+00,1.000000000000000000e+00
3.259534712925434619e+00,1.213829562458411004e+00,1.000000000000000000e+00
3.269534712925434405e+00,1.215050597713814629e+00,1.000000000000000000e+00
3.279534712925434192e+00,1.216271632969218253e+00,1.000000000000000000e+00
3.289534712925433979e+00,1.217492668224621877e+00,1.000000000000000000e+00
3.299534712925434654e+00,1.218713703480025501e+00,1.000000000000000000e+00
3.309534712925434441e+00,1.219934738735428903e+00,1.000000000000000000e+00
