# mRange,cKinked,cIRA,period
1.378435093952753654e+00,9.297377026218973661e-01,9.274637765403720424e-01,1.500000000000000000e+01
1.388435093952753663e+00,9.311812066593018189e-01,9.287958254606121233e-01,1.500000000000000000e+01
1.398435093952753672e+00,9.326247106967062717e-01,9.301278743808524263e-01,1.500000000000000000e+01
1.408435093952753681e+00,9.340682147341106134e-01,9.314599233010923962e-01,1.500000000000000000e+01
1.418435093952753689e+00,9.355117187715149552e-01,9.327919722213326992e-01,1.500000000000000000e+01
1.428435093952753698e+00,9.369552228089192969e-01,9.341240211415727801e-01,1.500000000000000000e+01
1.438435093952753485e+00,9.383987268463238607e-01,9.354560700618129720e-01,1.500000000000000000e+01
1.448435093952753716e+00,9.398422308837282024e-01,9.367881189820531640e-01,1.500000000000000000e+01
1.458435093952753947e+00,9.412857349211326552e-01,9.381201679022934670e-01,1.500000000000000000e+01
1.468435093952753734e+00,9.427292389585371080e-01,9.394522168225334369e-01,1.500000000000000000e+01
1.478435093952753521e+00,9.441727429959414497e-01,9.407842657427736288e-01,1.500000000000000000e+01
1.488435093952753752e+00,9.456162470333457915e-01,9.421163146630138208e-01,1.500000000000000000e+01
1.498435093952753983e+00,9.470597510707503552e-01,9.434483635832540127e-01,1.500000000000000000e+01
1.508435093952753769e+00,9.485032551081546970e-01,9.447804125034942047e-01,1.500000000000000000e+01
1.518435093952753556e+00,9.499467591455590387e-01,9.461124614237342856e-01,1.500000000000000000e+01
1.528435093952753787e+00,9.513902631829634915e-01,9.474445103439745886e-01,1.500000000000000000e+01
1.538435093952754018e+00,9.526730033499268835e-01,9.487765592642147805e-01,1.500000000000000000e+01
1.548435093952753805e+00,9.539081489825614879e-01,9.501086081844548614e-01,1.500000000000000000e+01
1.558435093952753592e+00,9.551432946151959813e-01,9.514406571046949423e-01,1.500000000000000000e+01
1.568435093952753823e+00,9.563784402478305857e-01,9.527727060249351343e-01,1.500000000000000000e+01
1.578435093952754054e+00,9.576135858804651901e-01,9.541047549451753262e-01,1.500000000000000000e+01
1.588435093952753840e+00,9.588487315130999056e-01,9.554368038654155182e-01,1.500000000000000000e+01
1.598435093952753627e+00,9.600838771457342880e-01,9.567688527856557101e-01,1.500000000000000000e+01
1.608435093952753858e+00,9.613190227783690034e-01,9.581009017058959021e-01,1.500000000000000000e+01
1.618435093952754089e+00,9.625541684110036078e-01,9.594329506261360940e-01,1.500000000000000000e+01
1.628435093952753876e+00,9.637893140436382122e-01,9.607649995463761750e-01,1.500000000000000000e+01
1.638435093952753663e+00,9.650244596762727056e-01,9.620970484666162559e-01,1.500000000000000000e+01
1.648435093952753894e+00,9.662596053089073100e-01,9.634290973868565588e-01,1.500000000000000000e+01
1.658435093952754125e+00,9.674947509415419145e-01,9.647611463070967508e-01,1.500000000000000000e+01
1.668435093952753911e+00,9.687298965741765189e-01,9.660532955588829740e-01,1.500000000000000000e+01
1.678435093952753698e+00,9.699650422068111233e-01,9.671897477004864907e-01,1.500000000000000000e+01
1.688435093952753929e+00,9.712001878394456167e-01,9.683261998420901184e-01,1.500000000000000000e+01
